scorer,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000,DeepCut_resnet50_rotarodpaws_2Nov15shuffle1_1030000
bodyparts,Rightpaw,Rightpaw,Rightpaw,Leftpaw,Leftpaw,Leftpaw,Tailbase,Tailbase,Tailbase,Rotarodtop,Rotarodtop,Rotarodtop,Rotarodbottom,Rotarodbottom,Rotarodbottom
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
63,354.8061537742615,150.00299882888794,1.0,359.5515093803406,149.74214434623718,0.007691977079957724,223.4663064479828,126.25618934631348,1.0,440.197386264801,119.7602231502533,1.0,225.2404589653015,245.15479171276093,1.0
64,354.87645626068115,151.9736349582672,1.0,359.49648666381836,150.55733680725098,0.0037514769937843084,223.21900725364685,124.92466449737549,1.0,440.2140893936157,120.50927591323853,1.0,215.64388465881348,245.07757091522217,1.0
65,353.83973836898804,154.55306243896484,1.0,358.55571031570435,152.6777958869934,0.01997200772166252,216.6148362159729,128.82942152023315,1.0,439.83748841285706,119.95244932174683,1.0,209.97067975997925,243.01335763931274,1.0
66,354.5039418935776,155.78201758861542,1.0,358.95900440216064,154.32180976867676,0.003931950777769089,216.00391292572021,130.96721744537354,1.0,439.7964406013489,119.71058869361877,1.0,217.72467422485352,242.99582052230835,1.0
67,354.80118906497955,158.01010727882385,1.0,359.50998973846436,158.7175736427307,0.0016347405035048723,213.03397226333618,135.3671360015869,1.0,439.72298312187195,119.76622271537781,1.0,208.38832759857178,241.36274528503418,1.0
68,355.1701288819313,160.1020245552063,1.0,359.88754892349243,160.64107704162598,0.00039882055716589093,211.29898262023926,138.83240413665771,1.0,440.27586793899536,119.75052499771118,1.0,204.73289048671722,240.88835954666138,1.0
69,355.61001947522163,162.2498049736023,1.0,359.6372079849243,164.50853824615479,0.00012218834308441728,211.3194823861122,141.38476943969727,1.0,439.78581619262695,119.88421893119812,1.0,203.71869945526123,240.21325206756592,1.0
70,355.08602833747864,164.55813026428223,1.0,197.49133348464966,149.04314732551575,0.00015687162522226572,210.47930002212524,144.3567705154419,1.0,440.34522247314453,119.80662083625793,1.0,203.71379137039185,241.05072450637817,1.0
71,354.79932022094727,166.6186773777008,1.0,188.4623640179634,154.7826087474823,0.00014047730655875057,209.5152564048767,148.4141435623169,1.0,440.02430057525635,119.59710144996643,1.0,203.98703002929688,241.24343013763428,1.0
72,354.51962995529175,169.2900743484497,1.0,359.1803369522095,168.02279710769653,0.0003431476652622223,208.5052456855774,153.3122420310974,1.0,440.2200140953064,119.82041645050049,1.0,204.2478443235159,241.72296047210693,1.0
73,355.29147094488144,170.90131998062134,1.0,359.90672731399536,171.4537860751152,0.00021749672305304557,208.11885499954224,156.35072803497314,1.0,440.3208899497986,120.08529663085938,1.0,204.65828227996826,241.1977252960205,1.0
74,354.73766696453094,172.76597899198532,1.0,359.4663486480713,173.42776691913605,0.0005990306381136179,208.61260843276978,159.26947474479675,1.0,440.39862966537476,120.23057508468628,1.0,205.75483560562134,242.28505945205688,1.0
75,355.38992565870285,175.26998353004456,1.0,215.1840033531189,178.29564607143402,0.0006527741788886487,208.74270963668823,162.51027250289917,1.0,440.7913136482239,120.13318109512329,1.0,209.25169897079468,241.75754022598267,1.0
76,355.40017277002335,178.36559963226318,1.0,208.34083223342896,222.0769760608673,0.0014492589980363846,208.2530746459961,169.0642991065979,1.0,440.547429561615,119.91336703300476,1.0,212.30184173583984,241.8524980545044,1.0
77,355.66047900915146,180.62054824829102,1.0,208.1892852783203,221.3766714334488,0.007496427278965712,207.10699152946472,170.9814772605896,1.0,441.4717879295349,119.22224974632263,1.0,212.94784200191498,242.326566696167,1.0
78,355.83989088237286,179.15937662124634,1.0,360.2338750362396,180.0462562404573,0.00017185577598866075,208.75109243392944,148.6506519317627,1.0,441.9188256263733,119.27316904067993,1.0,215.64377355575562,244.5176706314087,1.0
79,361.74865102767944,174.28887176513672,1.0,368.7350273132324,173.40136766433716,0.0008520590490661561,220.3125471174717,110.02184295654297,1.0,442.14732456207275,119.32486271858215,1.0,238.60016918182373,242.60613667964935,0.9999998807907104
80,350.2330365180969,122.48157405853271,1.0,250.63426411151886,124.46466982364655,0.0009510815143585205,239.92643356323242,74.67106437683105,1.0,441.10368633270264,119.26265335083008,1.0,199.71804451942444,240.5084843635559,1.0
81,362.7519335746765,117.19380760192871,1.0,228.06917095184326,113.84309196472168,1.0,260.54646772146225,86.82841110229492,1.0,441.11041593551636,118.99447417259216,1.0,200.3231978416443,240.87157917022705,1.0
82,362.89617919921875,119.45801711082458,1.0,222.36260747909546,106.80309748649597,0.9999815225601196,250.42740774154663,85.42782020568848,1.0,441.40719270706177,118.84959745407104,1.0,224.43332290649414,242.50538158416748,1.0
83,363.14981341362,120.55379152297974,1.0,225.18709754943848,103.6540117263794,0.9998325109481812,254.95244359970093,73.96852922439575,1.0,440.9026255607605,119.1107919216156,1.0,198.1673789024353,241.07284259796143,0.9999949932098389
84,363.4946628212929,119.3557231426239,1.0,235.37746167182922,98.98885297775269,1.0,266.5801787376404,47.40434503555298,1.0,440.41533374786377,118.8257474899292,1.0,201.1246418952942,241.7216763496399,1.0
85,362.9083813428879,120.67071104049683,1.0,369.2998466491699,119.4415340423584,0.015522254630923271,255.17508840560913,42.0404314994812,1.0,440.28786039352417,118.82484602928162,1.0,201.62317657470703,242.4877471923828,1.0
86,357.2634824514389,119.12662410736084,1.0,357.2297430038452,119.19851350784302,0.002010340103879571,248.54434823989868,43.834410667419434,1.0,440.9507637023926,118.85131907463074,1.0,201.79261016845703,242.33650016784668,1.0
87,351.88687229156494,118.75428676605225,0.9999979734420776,239.98086810112,116.4502309858799,0.7911515235900879,258.8057117462158,38.986496686935425,1.0,441.0880193710327,118.91517853736877,1.0,203.5191330909729,242.26009702682495,1.0
88,352.1036641597748,116.07907206565142,1.0,356.3453760147095,117.6726803779602,0.0015073221875354648,260.6275780200958,31.3041033744812,1.0,441.66897439956665,118.73221373558044,1.0,199.94792246818542,242.66965341567993,1.0
89,350.92195749282837,116.60845655202866,1.0,222.23830890655518,108.56984490156174,0.003965775948017836,259.30974793434143,30.847399711608887,1.0,441.23841762542725,118.82377290725708,1.0,221.13461685180664,244.16230690479279,1.0
90,351.0241620540619,117.55085813999176,1.0,247.71552658081055,6.394296884536743,0.002186140976846218,263.3046736717224,22.626529455184937,1.0,440.6964430809021,118.77503299713135,1.0,202.4153802394867,242.86736011505127,1.0
91,351.97987699508667,118.16336059570312,1.0,264.04328775405884,6.265635251998901,0.0014948160387575626,271.2876207828522,24.082573890686035,0.9999998807907104,441.6778621673584,118.82248044013977,1.0,201.4632306098938,243.00989770889282,1.0
92,350.0630428791046,119.03992772102356,1.0,263.9526753425598,6.8058342933654785,0.0011833591852337122,275.8661039620638,22.813205242156982,1.0,441.96513509750366,118.76204633712769,1.0,202.01504707336426,244.38604927062988,1.0
93,357.73410952091217,123.87753523886204,1.0,248.0194034576416,99.86428178846836,0.9999743700027466,277.35281789302826,27.146464347839355,1.0,441.4699387550354,118.71865725517273,1.0,200.5930347442627,243.56354236602783,1.0
94,359.81971740722656,125.21999442577362,1.0,249.3218846321106,98.2604546546936,1.0,278.8428075313568,24.30190134048462,1.0,441.398654460907,119.34231662750244,1.0,199.89932131767273,242.84485340118408,1.0
95,358.3454535007477,126.56712555885315,1.0,249.4811191558838,96.71769571304321,1.0,278.9092335700989,20.36278933286667,1.0,441.65033292770386,119.54015469551086,1.0,200.34031057357788,242.1773443222046,1.0
96,357.93439245224,127.43466782569885,1.0,247.34472799301147,101.71858882904053,1.0,274.7399936914444,17.473429679870605,1.0,441.73586225509644,118.7487518787384,1.0,201.56533241271973,242.9976053237915,1.0
97,360.91664028167725,128.17373085021973,1.0,245.05627727508545,105.26964473724365,1.0,271.7129783630371,16.206223011016846,1.0,440.8670301437378,118.89052987098694,1.0,200.9097032546997,240.52884578704834,1.0
